Title,Composer,CatNo,Date,Range,Inst1,Inst2,Inst3,Genre,Subgenre,Species ,Species2,Nationality,Key,Modulation
Stucke 1 Schwermut,Busoni,Op33b,1896,,Piano,,,SoloSonata,,,,Italy,F# major,
Stucke 2 Frohsinn,Busoni,Op33b,1896,,Piano,,,SoloSonata,,,,Italy,F major,
Stucke 3 Scherzino,Busoni,Op33b,1896,,Piano,,,SoloSonata,,,,Italy,C major,
Stucke 4 Fantasia in modo antico,Busoni,Op33b,1896,,Piano,,,SoloSonata,,,,Italy,B minor,
Stucke 5 Finnische Ballade,Busoni,Op33b,1896,,Piano,,,SoloSonata,,,,Italy,C minor,
Stucke 6 Exeunt omnes,Busoni,Op33b,1896,,Piano,,,SoloSonata,,,,Italy,B major,
Allemande,Buxtehude,,,1660-1690,Organ,,,SoloSonata,,Allemande,,Denmark,E minor,
"Chorale Preludes for Organ-Wir danken dir, Herr Jesu Christ",Buxtehude,BuxWV224,,1660-1690,Organ,,,SoloSonata,,,,Denmark,D minor,
Ciacona in E-,Buxtehude,BuxWV160,,1660-1690,Organ,,,SoloSonata,,,,Denmark,E minor,
"Durch Adams Fall ist ganz verberbt,",Buxtehude,BuxWV183,,1660-1690,Organ,,,SoloSonata,,,,Denmark,A minor,
Fugue in C,Buxtehude,BuxWV137,,1660-1690,Organ,,,Fugue,,,,Denmark,C major,
Sonata a 4 in G,Buxtehude,,,1660-1690,StringQuartet,,,ChamberSonata,,,,Denmark,G major,
All in a garden green MB. 56,Byrd,MB56,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Variation,,England,G major,
The Queenês Alman MB. 10,Byrd,MB10,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Allemande,,England,G minor,Gminor-Gmajor
Alman MB. 11,Byrd,MB11,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Allemande,,England,G major,
Monsieurs Alman MB. 44,Byrd,MB44,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Allemande,,England,C major,
Monsieurs Alman MB. 87-88 No. 1-2,Byrd,MB87-88no1-2,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Allemande,,England,G major,
Alman MB. 89,Byrd,MB89,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Allemande,,England,G minor,Gminor-Gmajor
Callino casturame MB. 35,Byrd,MB35,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Variation,,England,C major,
Three French Corantos MB. 21,Byrd,MB21,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Courante,,England,A minor,Aminor-Amajor
Coranto MB. 45,Byrd,MB45,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Courante,,England,C major,
Fantasia MB. 25 No. 2,Byrd,MB25no2,,1570-1620,Harpsichord,,,Fantasy,,,,England,C major,
Fantasia MB. 26 No. 1,Byrd,MB26no1,,1570-1620,Harpsichord,,,Fantasy,,,,England,C major,
Fantasia MB. 27 No. 3,Byrd,MB27no3,,1570-1620,Harpsichord,,,Fantasy,,,,England,C major,
"Fantasia, Verse MB. 28 No. 4",Byrd,MB28no4,,1570-1620,Harpsichord,,,Fantasy,,,,England,C major,
Fantasia MB. 46,Byrd,MB46,,1570-1620,Harpsichord,,,Fantasy,,,,England,D minor,Dminor-Dmajor
"Fantasia, Voluntary for my Lady Nevell MB. 61 No. 1",Byrd,MB61no1,,1570-1620,Harpsichord,,,Fantasy,,,,England,G major,
Fantasia MB. 62 No. 2,Byrd,MB62no2,,1570-1620,Harpsichord,,,FantasyAndFugue,,,,England,G major,
Fantasia MB. 63 No. 3,Byrd,MB63no3,,1570-1620,Harpsichord,,,Fantasy,,,,England,G major,
Fortune MB. 6,Byrd,MB6,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Variation,,England,G minor,Gminor-Gmajor
Galiardo Secundo MB. 15c,Byrd,MB15c,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Galliard,,England,A minor,Aminor-Amajor
Galliarda FW. 174,Byrd,FW174,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Galliard,,England,A minor,Aminor-Amajor
The Galliard Jig MB. 18,Byrd,MB18,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Galliard,,England,A minor,Aminor-Amajor
"Galliard, Mistress Mary Brownlow MB. 34 No. 4",Byrd,MB34no4,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Galliard,,England,C major,
Galliard MB. 53 No. 2,Byrd,MB53no2,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Galliard,,England,D minor,Dminor-Dmajor
Gloria tibi Trinitas MB. 50,Byrd,MB50,,1570-1620,Harpsichord,,,Fugue,,Gloria,,England,D minor,
Go from my window MB. 79,Byrd,MB79,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Variation,,England,G major,
Hugh Ashtons Ground MB. 20,Byrd,MB20,,1570-1620,Harpsichord,,,PreludeLikeSolo,,ChaconnePassacaliaGround,,England,A minor,
The second grownde MB. 42,Byrd,MB42,,1570-1620,Harpsichord,,,PreludeLikeSolo,,ChaconnePassacaliaGround,,England,C major,
Ground MB. 43,Byrd,MB43,,1570-1620,Harpsichord,,,PreludeLikeSolo,,ChaconnePassacaliaGround,,England,C major,
My Lady Nevells Ground MB. 57,Byrd,MB57,,1570-1620,Harpsichord,,,PreludeLikeSolo,,ChaconnePassacaliaGround,,England,D minor,Dminor-Dmajor
Ground MB. 86,Byrd,MB86,,1570-1620,Harpsichord,,,PreludeLikeSolo,,ChaconnePassacaliaGround,,England,G major,
Ground MB. 9,Byrd,MB9,,1570-1620,Harpsichord,,,PreludeLikeSolo,,ChaconnePassacaliaGround,,England,G major,
Gypsies Round MB. 80,Byrd,MB80,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Variation,,England,G major,
Hornpipe MB. 39,Byrd,MB39,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Hornpipe,,England,C major,
In nomine MB. 51,Byrd,MB51,,1570-1620,Harpsichord,,,PreludeLikeSolo,,,,England,D major,
Jig MB. 22,Byrd,MB22,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Gigue,,England,A minor,
John come kiss me now MB. 81,Byrd,MB81,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Variation,,England,G major,
"Lavolta, Lady Morley MB. 90 No. 1",Byrd,MB90no1,,1570-1620,Harpsichord,,,PreludeLikeSolo,,OtherDance,,England,D major,
Lavolta MB. 91 No. 2,Byrd,MB91no2,,1570-1620,Harpsichord,,,PreludeLikeSolo,,OtherDance,,England,G major,
"The March before the Battle, or The Earl of Oxfordês March MB. 93",Byrd,MB93,,1570-1620,Harpsichord,,,PreludeLikeSolo,,March,,England,G major,
Miserere in 2 parts MB. 47,Byrd,MB47,,1570-1620,Harpsichord,,,Fugue,,,,England,D minor,
Miserere in 3 parts MB. 48,Byrd,MB48,,1570-1620,Harpsichord,,,Fugue,,,,England,A minor,
Miserere in 4 parts MB. 49,Byrd,MB49,,1570-1620,Harpsichord,,,Fugue,,,,England,D minor,
Miserere MB. 66,Byrd,MB66,,1570-1620,Harpsichord,,,Fugue,,,,England,G major,
Miserere MB. 67,Byrd,MB67,,1570-1620,Harpsichord,,,Fugue,,,,England,C major,
"O mistress mine, I must MB. 83",Byrd,MB83,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Variation,,England,G major,
Pavan MB. 17 No. 4,Byrd,MB17no4,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,,England,A minor,Aminor-Amajor
Pavan MB. 74 No. 6,Byrd,MB74no6,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,,England,G major,
Lady Monteagleês Pavan MB. 75 No. 7,Byrd,MB75no7,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,,England,G major,
Echo Pavan and Galliard MB. 114 No. 5,Byrd,MB114no5,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,G major,
Pavan and Galliard MB. 14 No. 1,Byrd,MB14no1,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,A minor,Aminor-Amajor
"Pavan and two Galliards, The Earl of Salisbury_MB. 15 No. 2",Byrd,MB15no2,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,A minor,Aminor-Amajor
Pavan and Galliard MB. 16 No. 3,Byrd,MB16no3,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,A minor,Aminor-Amajor
Passamezzo Pavan and Galliard MB. 2 No. 1,Byrd,MB2no1,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,G minor,Gminor-Gmajor
Pavan and Galliard MB. 23,Byrd,MB23,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,Bb major,
Pavan and Galliard MB. 29 No. 1,Byrd,MB29no1,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,C minor,
"Pavan and Galliard, Sir William Petre MB. 3 No. 2",Byrd,MB3no2,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,G minor,Gminor-Gmajor
Pavan and Galliard MB. 30,Byrd,MB30,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,C major,
Pavan and Galliard MB. 31 No. 2,Byrd,MB31no2,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,C minor,Cminor-Cmajor
"Pavan and Galliard, Kinborough Good MB. 32 No. 2",Byrd,MB32no2,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,C major,
Pavan and Galliard MB. 33 No. 3,Byrd,MB33no3,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,C major,
Pavan and Galliard MB. 4 No. 3,Byrd,MB4no3,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,G minor,Gminor-Gmajor
"Pavan and Galliard, Delight MB. 5",Byrd,MB5,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,G minor,Gminor-Gmajor
Pavan and Galliard MB. 52 No. 1,Byrd,MB52no1,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,D minor,
Lachrymae Pavan and Galliard MB. 54-55,Byrd,MB54-55,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,D minor,Dminor-Dmajor
"Pavan and Galliard, Bray MB. 59 No. 1",Byrd,MB59no1,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,F major,
"Pavan and Galliard, Ph. Tregian MB. 60 No. 2",Byrd,MB60no2,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,F major,
Quadran Pavan and Galliard MB. 70 No. 1,Byrd,MB70no1,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,G major,
Pavan and Galliard MB. 71 No. 2,Byrd,MB71no2,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,G major,
Pavan and Galliard MB. 72 No. 3,Byrd,MB72no3,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,G major,
Pavan and Galliard MB. 73 No. 4,Byrd,MB73no4,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,G major,
Pavan and Galliard MB. 76-77 No. 8-9,Byrd,MB76-77no8-9,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Pavan,Galliard,England,G major,
Prelude MB. 24,Byrd,MB24,,1570-1620,Harpsichord,,,Prelude,,,,England,C major,
Prelude and Fantasia MB. 12-13,Byrd,MB12-13,,1570-1620,Harpsichord,,,Prelude,Fantasy,,,England,A minor,Aminor-Amajor
Qui passe [Chi passa] for my Lady Nevel MB. 19,Byrd,MB19,,1570-1620,Harpsichord,,,PreludeLikeSolo,,ChaconnePassacaliaGround,,England,A minor,Aminor-Amajor
Sellingers Round MB. 84,Byrd,MB84,,1570-1620,Harpsichord,,,PreludeLikeSolo,,OtherDance,,England,C major,
"Rowland, or Lord Willoughbyês Welcome home MB. 7",Byrd,MB7,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Variation,,England,G minor,Gminor-Gmajor
Salvator Mundi MB. 68,Byrd,MB68,,1570-1620,Harpsichord,,,Fugue,,,,England,C major,
Salvator Mundi MB. 69,Byrd,MB69,,1570-1620,Harpsichord,,,Fugue,,,,England,G major,
The Barley Break MB. 92,Byrd,MB92,,1570-1620,Harpsichord,,,PreludeLikeSolo,,OtherDance,,England,G major,
The Battle MB. 94,Byrd,MB94,,1570-1620,Harpsichord,,,PreludeLikeSolo,,,,England,G major,
The Bells MB. 38,Byrd,MB38,,1570-1620,Harpsichord,,,PreludeLikeSolo,,ChaconnePassacaliaGround,,England,C major,
The Carmens Whistle MB. 36,Byrd,MB36,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Variation,,England,C major,
The Ghost (alman) MB. 78,Byrd,MB78,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Allemande,,England,G major,
The Hunts Up MB. 40-41,Byrd,MB40-41,,1570-1620,Harpsichord,,,PreludeLikeSolo,,ChaconnePassacaliaGround,,England,F major,
The Maidens Song MB. 82,Byrd,MB82,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Variation,,England,G major,
The woods so wild MB. 85,Byrd,MB85,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Variation,,England,G major,
Ut mi re MB. 65,Byrd,MB65,,1570-1620,Harpsichord,,,PreludeLikeSolo,,,,England,G major,
Ut re mi fa sol la MB. 58,Byrd,MB58,,1570-1620,Harpsichord,,,PreludeLikeSolo,,,,England,F major,
Ut re mi fa sol la MB. 64,Byrd,MB64,,1570-1620,Harpsichord,,,PreludeLikeSolo,,,,England,G major,
Walsingham_MB. 8,Byrd,MB8,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Variation,,England,G major,
Wilsons wild MB. 37,Byrd,MB37,,1570-1620,Harpsichord,,,PreludeLikeSolo,,Variation,,England,C major,
Organ Works Corrente Italiana,Cabanilles,,1665,1684,Organ,,,OtherSolo,,,,Spain,D minor,
Organ Works Pasacalles de I tono,Cabanilles,,1665,1684,Organ,,,OtherSolo,,,,Spain,D major,
Organ Works Pasacalles de IV tono,Cabanilles,,1665,1684,Organ,,,OtherSolo,,,,Spain,A major,
Organ Works Tiento Batalla Imperial,Cabanilles,,1665,1684,Organ,,,OtherSolo,,,,Spain,C major,
Organ Works Tiento de I Tono,Cabanilles,,1665,1684,Organ,,,OtherSolo,,,,Spain,D minor,
Organ Works Tiento de VI Tono,Cabanilles,,1665,1684,Organ,,,OtherSolo,,,,Spain,F major,
Organ Works Tiento Sobre Ave Maris Stella,Cabanilles,,1665,1684,Organ,,,OtherSolo,,,,Spain,D major,
Organ Works Tocata de II tono,Cabanilles,,1665,1684,Organ,,,OtherSolo,,,,Spain,C major,
Organ Works Xacara de I tono,Cabanilles,,1665,1684,Organ,,,OtherSolo,,,,Spain,D minor,
Magnificat 1 Magnificat,Caldara,,1690,1728,Orchestra,Voice,,OtherTextedSacred,,,,Italy,C major,
Magnificat 2 Deposuit potentes,Caldara,,1690,1728,Orchestra,Voice,,OtherTextedSacred,,,,Italy,C major,
Magnificat 3 Suscepit Israel,Caldara,,1690,1728,Orchestra,Voice,,OtherTextedSacred,,,,Italy,A minor,
Organ Works Tiento I de Falsas in D-,Caldara,,1690,1728,Organ,,,OtherSolo,,,,Spain,D minor,
Fugue in D,Campion,,1706,1726,Guitar,Guitar,,ChamberSonata,,,,France,D major,
Magnificat 4 Sicut erat in principio,Campion,,1690,1728,Orchestra,Voice,,OtherTextedSacred,,,,Italy,C major,
Sonatina in D,Campion,,1706,1726,Guitar,Guitar,,ChamberSonata,,,,France,D major,
Sonatina in F,Campion,,1706,1726,Guitar,Guitar,,ChamberSonata,,,,France,D minor,
Air,Campra,,1680,1700,Guitar,Guitar,,ChamberSonata,,,,France,B minor,
El Delirio,Cano,,1831,1851,Guitar,,,OtherSolo,,,,,B minor,D major
Rigaudon,Cano,,1831,1851,Orchestra,,,Prelude,,,,France,A major,
Sonata in Eb,Cantallos,,1790,1810,Piano,,,SoloSonata,,,,,C minor,
24 Little Pieces Allegretto in E,Carcassi,Op21No9,1812,1832,Guitar,,,OtherSolo,,,,,E major,
24 Little Pieces Allegretto in G,Carcassi,Op21No2,1812,1832,Guitar,,,OtherSolo,,,,,C major,
24 Little Pieces Andanto in C,Carcassi,Op21No1,1812,1832,Guitar,,,OtherSolo,,,,,C major,
Allegretto,Carcassi,Op5No12,1812,1832,Guitar,,,OtherSolo,,,,,D major,
Andante Grazioso,Carcassi,Op5No8,1812,1832,Guitar,,,OtherSolo,,,,,G major,
Etude in A,Carcassi,,1812,1832,Guitar,,,Etude,,,,,A major,
Etude in A,Carcassi,Op60No25,1812,1832,Guitar,,,OtherSolo,,,,,A major,
Core Ingrato,Cardillo,,1911,,Piano,Clarinet,,Duet,,,,,Eb major,
God Save the Queen,Carey,R98SW235,1745,,,,,,,,,England,C major,
"Ferma, Lascia Ch'io Parli Lamento di Maria Stuarda",Carissimi,,1625,1645,Organ,,,OtherSolo,,,,Italy,G minor,
O Feliz Anima,Carissimi,,1625,1645,,Bassoon,,OtherSolo,,,,Italy,A minor,
A Hymn for Christmas,Carr,,1819,,Piano,,,OtherSolo,,,,America,F major,
Ellen Arise,Carr,,1798,,Piano,,,OtherSolo,,,,America,A major,
Poor Mary,Carr,,1788,1808,Piano,,,OtherSolo,,,,America,F major,
Shakespeare's Willow,Carr,,1793,,Piano,,,OtherSolo,,,,America,A minor,
The Delightful Companion-Divisions upon an Italian Ground,Carr,,1686,,Harpsichord,Flute,,,,,,England,D minor,
The Siege of Tripoli 1 Grazioso,Carr,Op4,1804,,Piano,,,OtherSolo,,,,America,A major,
The Siege of Tripoli 10 Rondo Yankee Doodle,Carr,Op4,1804,,Piano,,,OtherSolo,,,,America,A major,
The Siege of Tripoli 2 Marine March,Carr,Op4,1804,,Piano,,,OtherSolo,,,,America,D major,
The Siege of Tripoli 3 Moorish March,Carr,Op4,1804,,Piano,,,OtherSolo,,,,America,A minor,
The Siege of Tripoli 4 Resoluto Command,Carr,Op4,1804,,Piano,,,OtherSolo,,,,America,D major,
The Siege of Tripoli 5 Quickstep,Carr,Op4,1804,,Piano,,,OtherSolo,,,,America,A major,
The Siege of Tripoli 6 Allegro Spirito,Carr,Op4,1804,,Piano,,,OtherSolo,,,,America,D major,
The Siege of Tripoli 7 Siege,Carr,Op4,1804,,Piano,,,OtherSolo,,,,America,F major,
The Siege of Tripoli 8 Largo Lament Maestoso Orders to Return,Carr,Op4,1804,,Piano,,,OtherSolo,,,,America,D major,
The Siege of Tripoli 9 Naval Medley,Carr,Op4,1804,,Piano,,,OtherSolo,,,,America,D major,
Gottschalk Waltz,Carreno,,1873,1893,Piano,,,OtherSolo,,,,Venezuela,Ab major,
Allegretto,Carulli,Op241No14,1790,1810,Piano,,,OtherSolo,,Waltz,,Italy,E major,
Andante con poco moto,Carulli,,1820,,Guitar,,,OtherSolo,,,,Italy,G major,
Andante in G,Carulli,,1790,1810,Piano,Guitar,,Duet,,,,Italy,G major,
Capriccio in C,Carulli,,1790,1810,Guitar,,,OtherSolo,,,,Italy,C major,
Five Romances for Two Guitars,Carulli,,1790,1810,Guitar,Guitar,,Duet,,,,Italy,D major,
"Greggiati Collection, Ostiglia Allegro",Carulli,,1790,1810,Orchestra,,,OrchestralSuite,,,,Italy,G major,
"Greggiati Collection, Ostiglia Teme con variazioni Allegro Finale",Carulli,,1790,1810,Orchestra,,,OrchestralSuite,,,,Italy,G major,
Le Nid et la Rose Romanzi per due chitarri,Carulli,"Op120III,1",1790,1810,Guitar,,,OtherSolo,,,,Italy,D major,
Marcia,Carulli,Op335No3,1790,1810,Guitar,,,OtherSolo,,March,,Italy,E major,
Morceau Facile,Carulli,Op120No10,1790,1810,Guitar,,,OtherSolo,,,,Italy,G major,
Nocturne de Salon 1 Allegro,Carulli,,1790,1810,Guitar,,,Nocturne,,,,Italy,C major,
Nocturne de Salon 2 Larghetto,Carulli,,1790,1810,Guitar,,,Nocturne,,,,Italy,C major,
Nocturne de Salon 3 Allegro,Carulli,,1790,1810,Guitar,,,Nocturne,,,,Italy,C major,
Overture,Carulli,,1790,1810,Guitar,,,Overture,,,,Italy,A major,
Prelude,Carulli,Op5,Prelude,Carulli,Guitar,,,Prelude,,,,Italy,D major,
Rondo,Carulli,,1790,1810,Guitar,,,Rondo,,,,Italy,C major,
Rondo in sol,Carulli,,1770,,Guitar,,,Rondo,,,,Italy,G major,
Serenades,Carulli,Op21No1,1790,1810,Guitar,,,OtherSolo,,,,Italy,C# minor,
Serenades,Carulli,Op21No2,1790,1810,Guitar,,,OtherSolo,,,,Italy,F# minor,F# major
Sonata for Piano and Guitar 1 Moderato,Carulli,Op21No1,1790,1810,Piano,Guitar,,ChamberSonata,,FirstMovement,,Italy,A major,
Sonata for Piano and Guitar 2 Adagio,Carulli,Op21No1,1790,1810,Piano,Guitar,,ChamberSonata,,SlowMovement,,Italy,A major,
Sonata for Piano and Guitar 3 Allegretto,Carulli,Op21No1,1790,1810,Piano,Guitar,,ChamberSonata,,LastMovement,,Italy,A major,
Variations on an old Shepard's Song,Carulli,Op194,1790,1810,Guitar,,,ThemeAndVariations,,,,Italy,A minor,
Variations on Mozart's Magic Flute,Carulli,Op276No30,1790,1810,Guitar,,,ThemeAndVariations,,,,Italy,A major,
Allegro,Casadesus,,1924,,Orchestra,Viola,,SoloConcerto,,FirstMovement,,France,B Minor,
Allegro Molto,Casadesus,,1924,,Orchestra,Viola,,SoloConcerto,,LastMovement,,France,B Minor,
Andante,Casadesus,,1924,,Orchestra,Viola,,SoloConcerto,,OtherMiddleMovement,Andante,France,B Minor,
Sonata in F,Casanovas,,1770,1790,Harpsichord,,,SoloSonata,,,,Spain,F major,
Panis Angelicus,Casciolini,,1717,1737,Violin,Cello,Violin,Trio,,,,,A minor,
"Pupazzetti, Five Pieces for Puppets for Piano Four Hands 1 Marcietta",Casella,,1915,,Piano,,,Duet,,,,Italy,C minor,
"Pupazzetti, Five Pieces for Puppets for Piano Four Hands 2 Berceuse",Casella,,1915,,Piano,,,Duet,,,,Italy,Eb major,
"Pupazzetti, Five Pieces for Puppets for Piano Four Hands 3 Serenata",Casella,,1915,,Piano,,,Duet,,,,Italy,C major,
"Pupazzetti, Five Pieces for Puppets for Piano Four Hands 4 Noturnino",Casella,,1915,,Piano,,,Duet,Nocturne,,,Italy,Undeterminable,
"Pupazzetti, Five Pieces for Puppets for Piano Four Hands 5 Polka",Casella,,1915,,Piano,,,Duet,,,,Italy,Undeterminable,
Quarta Sonata a due,Castello,,1621,,StringQuartet,,,StringQuartet,,,,Italy,A minor,
Airs de Danses des Bayaderes,Catel,,1793,1813,Piano,,,OtherSolo,,,,France,E major,
Fuga in D,Cernohorsky,,1704,1724,Piano,,,Fugue,,,,Bohemia,D major,
5 Cuban Dances No1,Cervantes,,1867,1887,Guitar,,,OtherSolo,,,,Cuba,A major,D major
5 Cuban Dances No2,Cervantes,,1867,1887,Guitar,,,OtherSolo,,,,Cuba,A major,
5 Cuban Dances No3,Cervantes,,1867,1887,Guitar,,,OtherSolo,,,,Cuba,D major,
5 Cuban Dances No4,Cervantes,,1867,1887,Guitar,,,OtherSolo,,,,Cuba,A major,
5 Cuban Dances No5,Cervantes,,1867,1887,Guitar,,,OtherSolo,,,,Cuba,A major,
Bouree Fantasque,Chabrier,,1891,,Piano,,,OtherSolo,,Bouree,,France,C minor,
"Espana, Rhapsody for Orchestra",Chabrier,,1883,,Orchestra,,,Prelude,,,,France,F major,
Feuillet d'album,Chabrier,,1889,,Piano,,,OtherSolo,,,,France,A major,
Joyeuse Marche,Chabrier,,1891,,Orchestra,,,March,,,,France,C major,
Canaries in G,Chambonnieres,,1622,1642,Harpsichord,,,OtherSolo,,,,France,G major,
Pavana-L'Entretien des Dieux,Chambonnieres,,1622,1642,Piano,,,OtherSolo,,,,France,C major,
Sarabande,Chambonnieres,,1622,1642,Piano,,,OtherSolo,,,,France,C major,
Callirhoe-Air de Ballet,Chaminade,Op37No4,1890,,Piano,,,OtherSolo,,,,France,G major,
Concertino pour flute et Piano,Chaminade,Op107,1902,,Flute,Piano,,Duet,,,,Spain,D major,
Etude de Concert Automne,Chaminade,Op35No2,1886,,Piano,,,Etude,,,,France,C# major,
La Lisonjera,Chaminade,Op50,1890,,Piano,,,OtherSolo,,,,Spain,Gb major,
"La Bruja, Zarzuela-Jota",Chapi,,1887,,Orchestra,,,Prelude,,,,Spain,D major,
"La Revoltosa, Zarzuela Preludio",Chapi,,1897,,Orchestra,,,Prelude,,,,Spain,D major,
Serenata Morisca,Chapi,,1881,,Piano,,,OrchestralSuite,,,,Spain,G minor,
Reniement de Saint-Pierre,Charpentier,,1663,1683,Piano,,,OtherSolo,,,,France,A minor,
Te Deum Prelude,Charpentier,,1656,1676,Orchestra,,,Prelude,,,,France,C major,
Ave Maria,Cherubini,,1780,1800,Organ,,,OtherSolo,,,,Italy,D major,
Requiem in C- 1 Introitus et Kyrie,Cherubini,,1815,,Piano,Voice,,OtherTextedSacred,,Kyrie,,Italy,C minor,
Requiem in C- 2 Graduale,Cherubini,,1815,,Piano,Voice,,OtherTextedSacred,,,,Italy,G minor,
Requiem in C- 3 Dies Irae,Cherubini,,1815,,Piano,Voice,,OtherTextedSacred,,,,Italy,C minor,
Requiem in C- 4 Offertorium,Cherubini,,1815,,Piano,Voice,,OtherTextedSacred,,,,Italy,Eb major,
Requiem in C- 5 Sanctus,Cherubini,,1815,,Piano,Voice,,OtherTextedSacred,,,,Italy,Ab major,
Requiem in C- 6 Pie Jesu,Cherubini,,1815,,Piano,Voice,,OtherTextedSacred,,,,Italy,F minor,
Requiem in C- 7 Agnus Dei,Cherubini,,1815,,Piano,Voice,,OtherTextedSacred,,,,Italy,F minor,
Allegro de Concert Op. 46,Chopin,Op46,1841,,Piano,,,OtherSolo,,,,Poland,A Major,
Ballade 47 3 Ab Major,Chopin,Op47,1840,,piano,,,Ballade,,Waltz,,Poland,Ab major,
Ballade 52 4 F Minor,Chopin,Op54,1842,,piano,,,Ballade,,,,Poland,F minor,
Ballade 52 4 F Minor,Chopin,Op54,1842,,piano,,,Ballade,,,,Poland,F minor,
Barcarolle Op. 60,Chopin,Op60,,1845-1846,Piano,,,OtherSolo,,Barcarole,,Poland,F# Major,
Berceuse Op. 57,Chopin,Op57,1844,,Piano,,,OtherSolo,,Variation,,Poland,Db Major,
Etude Op. 10 No. 1,Chopin,Op10no1,1829,,Piano,,,Etude,,,,Poland,C major,
Etude Op. 10 No. 1,Chopin,Op10no1,1829,,Piano,,,Etude,,,,Poland,C major,
Etude Op. 10 No. 10,Chopin,Op10no10,,1829-1832,Piano,,,Etude,,,,Poland,Ab major,
Etude Op. 10 No. 10,Chopin,Op10no10,,1829-1832,Piano,,,Etude,,,,Poland,Ab major,
Etude Op. 10 No. 11,Chopin,Op10no11,,1829-1832,Piano,,,Etude,,,,Poland,Eb major,
Etude Op. 10 No. 11,Chopin,Op10no11,,1829-1832,Piano,,,Etude,,,,Poland,Eb major,
Etude Op. 10 No. 11,Chopin,Op10no11,,1829-1832,Piano,,,Etude,,,,Poland,Eb major,
Etude Op. 10 No. 12,Chopin,Op10no12,1831,,Piano,,,Etude,,,,Poland,C minor,
Etude Op. 10 No. 12,Chopin,Op10no12,1831,,Piano,,,Etude,,,,Poland,C minor,
Etude Op. 10 No. 12,Chopin,Op10no12,1831,,Piano,,,Etude,,,,Poland,C minor,
Etude Op. 10 No. 2,Chopin,Op10no2,1829,,Piano,,,Etude,,,,Poland,A minor,
